FCX CONSULTORIA EMPRESARIAL  |  DEPARTAMENTO DE MARKETING  |  PLANO DE AÇÃO E CRONOGRAMA — 1º SEMESTRE 2026;;;;;;;;;;;;;;;;;;;;;;;;;;
Responsável: Ronaldo Ferreira   |   Início do Projeto: 03/02/2026   |   Período: Mar–Jun 2026   |   Metodologia: Gantt;;;;;;;;;;;;;;;;;;;;;;;;;;
LEGENDA:;  Concluído;;  Em andamento;;  Não iniciado;;  Atrasado / Bloqueado;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
PLANO DE AÇÃO — ESTRUTURAÇÃO DO DEPARTAMENTO DE MARKETING FCX;;;;;;;;;mar/26;;;;;abr/26;;;;mai/26;;;;jun/26;;;;
;;;;;;;;;S02/03;S09/03;S16/03;S23/03;S30/03;S06/04;S13/04;S20/04;S27/04;S04/05;S11/05;S18/05;S25/05;S01/06;S08/06;S15/06;S22/06;S29/06
101;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Criar deck de apresentação institucional FCX (Brasil);PowerPoint com identidade visual FCX;Ronaldo F.;0%;09/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
102;MATERIAIS IMPRESSOS/DIGITAIS;FCX USA;Criar deck de apresentação FCX USA (bilíngue);EN + PT-BR;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.2. FOLDERS;;;;;;;;;;;;;;;;;;;;;;;;;;
103;MATERIAIS IMPRESSOS/DIGITAIS;MARKETING;Criar folders digitais por vertical (6 modelos);FCX, ContAl, Supermercado, ADV, Holding, USA (empresarial + brasileiros em USA);Ronaldo F.;0%;23/03/2026;24/04/2026;;;;;;;;;;;;;;;;;;
104;MATERIAIS IMPRESSOS/DIGITAIS;MARKETING;Criar folders impressos para eventos;Mín. 200 unidades por vertical prioritária;Ronaldo F.;0%;13/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
      1.3. APRESENTAÇÕES;;;;;;;;;;;;;;;;;;;;;;;;;;
105;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Criar apresentação de vendas por serviço (6 decks);RCT, PTA, Holding, M&A, Supermercado, ContAl;Ronaldo F.;0%;01/04/2026;15/05/2026;;;;;;;;;;;;;;;;;;
      1.4. REL. COM PARCEIROS;;;;;;;;;;;;;;;;;;;;;;;;;;
106;MATERIAIS IMPRESSOS/DIGITAIS;MARKETING;Criar programa de nutrição de parceiros;Brindes, datas comemorativas, newsletter exclusiva;Ronaldo F.;0%;01/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
107;MATERIAIS IMPRESSOS/DIGITAIS;MARKETING;Executar ações de relacionamento mensais (abr-jun);Email + WhatsApp + presencial;Ronaldo F.;0%;01/04/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.5. REL. COM CLIENTES;;;;;;;;;;;;;;;;;;;;;;;;;;
108;MATERIAIS IMPRESSOS/DIGITAIS;MARKETING;Criar programa de nutrição de clientes ativos;Prova social, brindes, datas comemorativas;Ronaldo F.;0%;01/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
109;MATERIAIS IMPRESSOS/DIGITAIS;MARKETING;Implementar pesquisa NPS (satisfação);Ferramenta: Typeform ou similar;Ronaldo F.;0%;13/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
      1.6. CATÁLOGOS;;;;;;;;;;;;;;;;;;;;;;;;;;
110;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Criar catálogo de serviços Brasil (digital + impresso);Todos os serviços e verticais;Ronaldo F.;0%;23/03/2026;24/04/2026;;;;;;;;;;;;;;;;;;
111;MATERIAIS IMPRESSOS/DIGITAIS;FCX USA;Criar catálogo de serviços FCX USA (EN + PT-BR);;Ronaldo F.;0%;13/04/2026;15/05/2026;;;;;;;;;;;;;;;;;;
      1.7. REVISTA FCX / NEWSLETTER;;;;;;;;;;;;;;;;;;;;;;;;;;
112;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Criar template da Revista FCX (newsletter mensal);Design, seções: mercado, cases, dicas, agenda;Ronaldo F.;100%;01/jan;15/jan;;;;;;;;;;;;;;;;;;
113;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Lançar 1ª edição da Revista FCX Newsletter;Distribuir para clientes, parceiros e leads;Ronaldo F.;100%;01/05/2026;07/jan;;;;;;;;;;;;;;;;;;
114;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Publicar edições mensais (fev a jun/26);Consistência mensal;Ronaldo F.;75%;01/fev;30/06/2026;;;;;;;;;;;;;;;;;;
      1.8. CARTÕES DE VISITA;;;;;;;;;;;;;;;;;;;;;;;;;;
115;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Redesenhar e produzir cartões de visita (Brasil);Todos os sócios e lideranças — nova identidade;Marketing;0%;09/03/2026;15/abr;;;;;;;;;;;;;;;;;;
116;MATERIAIS IMPRESSOS/DIGITAIS;FCX CONSULTORIA;Produzir cartões FCX USA (bilíngue EN+PT-BR);;Marketing;90%;01/04/2026;30/abr;;;;;;;;;;;;;;;;;;
  ▸  BRAZILIAN TIMES / FCX USA;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. ARTES;;;;;;;;;;;;;;;;;;;;;;;;;;
117;MATERIAIS IMPRESSOS/DIGITAIS;FCX USA;Criar artes para Brazilian Times (anúncios);4 Artes para publicação no jornal digital e impresso: UMA ARTE DE PROTÓTIPO, material de apoio (Word).;Marketing;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
118;MATERIAIS IMPRESSOS/DIGITAIS;FCX USA;Criar artes para Brazilian Times (revista mensal);Escolher a arte do jornal que tiver mais procura. 1 Arte para publicação na revista mensal;Marketing;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
      1.2. BANNERS;;;;;;;;;;;;;;;;;;;;;;;;;;
119;BRAZILIAN TIMES / FCX USA;1.2. BANNERS;Criar 05 banners para WhatsApp;"UMA ARTE EMPRESARIAL DE PROTÓTIPO E UMA ARTE PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word), Tamanhos de Banner Disponíveis para site

•	Pro Banner: 1456 x 180 pixels.
•	Banner Lateral: 1080 x 833 pixels.";Marketing;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
120;BRAZILIAN TIMES / FCX USA;1.2. BANNERS;Criar 05 banners para Facebook;UMA ARTE EMPRESARIAL DE PROTÓTIPO E UMA ARTE PESSOA FÍSICA/BR DE PROTÓTIPO,material de apoio (Word);Marketing;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
121;BRAZILIAN TIMES / FCX USA;1.2. BANNERS;Criar 05 banners para Instagram;UMA ARTE EMPRESARIAL DE PROTÓTIPO E UMA ARTE PESSOA FÍSICA/BR DE PROTÓTIPO,material de apoio (Word);Marketing;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
      1.3. VÍDEOS VERTICAIS;;;;;;;;;;;;;;;;;;;;;;;;;;
122;BRAZILIAN TIMES / FCX USA;1.3. VÍDEOS;04 vídeos verticais para Facebook e Instagram (30 segundos);UM VÍDEO EMPRESARIAL DE PROTÓTIPO E UM VÍDEO PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word) - Agendado para 25/03 as 10h30;Marcos Cailleaux / Lucas Prattes;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
      1.4. VÍDEOS HORIZONTAIS;;;;;;;;;;;;;;;;;;;;;;;;;;
123;BRAZILIAN TIMES / FCX USA;1.3. VÍDEOS;04 vídeos horizontais para Facebook e Instagram (30 segundos);UM VÍDEO EMPRESARIAL DE PROTÓTIPO E UM VÍDEO PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word) - Agendado para 25/03 as 10h30;Marcos Cailleaux / Lucas Prattes;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
      1.5. VÍDEOS EDUCATIVOS / INSTITUCIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;
123;BRAZILIAN TIMES / FCX USA;1.3. VÍDEOS;04 Vídeos educativo/ institucional (10/15 minutos);UM VÍDEO EMPRESARIAL DE PROTÓTIPO E UM VÍDEO PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word). Para resposta das perguntas (artigo) - segunda quinzena de abril;Marcos Cailleaux / Lucas Prattes;0%;09/03/2026;20/04/2026;;;;;;;;;;;;;;;;;;
      1.6. MATÉRIAS/ARTIGOS EDUCATIVO/ INSTITUCIONAL ;;;;;;;;;;;;;;;;;;;;;;;;;;
124;BRAZILIAN TIMES / FCX USA;1.6. MATÉRIAS / ARTIGOS;04 Matérias/artigos educativo/ institucional com 250 palavras, foto e logo;material de apoio (Word). Incluir um forms para cadastro e campo de perguntas - QR Code. Agendado para 25/03 as 10h30 - Semanal;Marcos Cailleaux / Lucas Prattes;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
      1.7. VINHETAS PARA RÁDIO;;;;;;;;;;;;;;;;;;;;;;;;;;
125;BRAZILIAN TIMES / FCX USA;1.7. VINHETAS PARA RÁDIO;05 vinhetas para rádio de 30 segundos;material de apoio (Word) - 2 vinhetas gravadas - Agendado para 25/03 as 10h30 (05 vinhetas);Marcos Cailleaux / Lucas Prattes;100%;09/03/2026;01/04/2026;;;;;;;;;;;;;;;;;;
